REG_DATE,ERR_DESCR,WORK_DESCR_LO,PERFORMED_ACTION_LO,RIG,AGE_OF_RIG,PERFORMED_ACTION_ID,PERFORMED_ACTION,ERR_TYPE,ERROR_TYPE,MCH_CODE,MCH_CODE_DESCRIPTION,SFI,Count_of_breakdown
12-Nov-16,Assistance to onshore mud loggers,"Various restart/reset of controlsystems
Refill destillated water to gas-measuring system","Resettings of various PC''s etc in logging unit
Refill water to measuring systems",J105,5361,7,Service,6,General,12010591,OFFICE CONTAINER,180,1
21-May-16,25T forklift welds to be cut and re-welded,Cracks must be cut and re-welded.,Forklift welded,J115,1190,2,Repair,6.2,Other,10530780,FORKLIFT NO.3; 2.5T;SACK STORE ROOM,454,4
21-May-16,Device guiding the load-chain down in the chain-box is bend,"End-stop switch on load chain is missing. New to be installed.
Device for guiding the load-chain down in the chain-box is bent causing the chain to run outside the box. To be repaired.",Jo done,J115,1190,2,Repair,6.2,Other,10319311,CHAIN DRIVE; RAW WATER PUMP NO.1,721,1
21-May-16,5T forklift welds to be cut and re-welded,Welds to be cut and re-welded by certified welder.,Work performed on forklift.,J115,1190,2,Repair,6.2,Other,10360035,FORKLIFT NO.2; 5T;MAIN DECK,454,7
09-Feb-16,G1-FASTLINE STABILIZER ROOLERS FAIL,"DHO025 15-02-16. 1) The upper Fastline stabilzer had jammed rollers as well. 4 out of 8 rollers had been replaced on upper in week 5. We did not have more rollers. We now have got a new stabilzer onboard received from Interceptor. This should be mounted on the Upper level. 
2) We have also ordered 2 ea. new type of Stabilzers on warrenty. Once they are arrived they should be mounted.
3) Once the new type of stabilzers is installed we will make a wizard and create a job for replacement of rollers on a fixed schedule and during that evaluate if service interval can be increased. So fare the stabilzers we are using now was lasting only 8 month of operation. Same issue on the sister rigs.
13.06.16 DHO025: 1 ea. Stabilizer of new type is received. Dont know how. Those we have ordered is still to be delivered? Still the assories needed to mount (Mainte. Materi req. 10500000823) is not received. If case needed before this arrive then we can use old.","G1-FASTLINE STABILIZER ROOLERS FAIL
not posible to lubricate
change 4 roller (used 4 used ones from the first stabilizer)",J115,1190,2,Repair,1,General,21000028,FASTLINE STABILIZER ARRANGEMENT - UPPER - LEVEL 9,301,1
08-Feb-16,G1 Preload Tank 16SB crack and dents in Beam B6,"28.08.16.Pending response from the technical organization of approved repair proceduresPostponed.BHE030
18.02.2017 Repair completed. Awaiting report to attach before we can close job. Postponed  FKJ014","Work covered on WO 5003 / PO 13807
Work done. Approved condition of class 1 yealy DNV.  HBI+SUP INT",J115,1190,12,Other,6.2,Other,10359886,TANK; 16PS;PRELOAD;ABOVE BOTTOM;PORT,285,1
01-Aug-15,G1: Damaged locking device on doors,"MBE 20.02: a lot of doors has been rapaired and upgrade with new doorlocks and closer e.g. all shaker doors repaired . Operation lined added  OMC are assisting with this scope
DHO025: 25/3-16: OMC ordered out for this Project as this is also related to DNV findings at last survey.
Attached DNV report item CC2 is related to the doors. 
OMC is ordered out to do the mapping and also the repair of the doors. We have various numbers of door-locks on Project shelf. for the Project. But once mapping is done we need to send a plan to Tech.Superintendent for fwd to DNV.

OMC finished reparing all doors exepct at drillfloor where sliding door is needed.
See attached door report. Report+ arrange plan + door list are mailed to Tech sup. Mikkel for DNV approval. Still awaiting answer. When repairs are accepted this WO should be closed. All OMC work hours is registered in this WO.

Door lock cylinders placed in P-tk room 13.7-16 TRA",G1: Damaged locking device on doors,J115,1190,1,Replace,1,General,10788661,INTERNAL DOORS; ACCOMODATION - GROUP,512,3
19-Feb-16,G1 Resilient Mounts on Engines starting to collapse,"PP - Asked Mayumi for status 1/6-16 TRA

12.09.16 - Mail to Mayumi for status (cc to Erik Bulow).  MCC061
19.02.16 - Mailed Erik Bulow for any updates. Attached DHO025",Will be followed up by TO (technical organisation) HBI + SUP INT.,J115,1190,3,Modify,1,General,10322136,MAIN DIESEL ENGINE NO.1,651,26
09-Apr-16,[488/08] Clean oil in jacking gears. Cessation BB,"All rig related jobs regarding bullet [488/08] in attached SOW to be connected as sons to this WO
Final reports from 3rd parties to be hooked up to this WO.
Pictures and temporary information to be filed in right sub folder under T:\02 Everyone\Cessation 2016","All rig related jobs regarding bullet [488/08] in attached SOW to be connected as sons to this WO
Final reports from 3rd parties to be hooked up to this WO.
Pictures and temporary information to be filed in right sub folder under T:\02 Everyone\Cessation 2016",J106,5117,12,Other,1,General,10614217,JACKING SYSTEM - GROUP,488,8
14-Oct-16,Paintproject (2016) ref. KH-290916-1422-1 priority 2 scope,Paint project 2016. Ref. KH-290916-1422-1 (Attached) Priority 2 scope with adjustments.,Paintproject (2016) ref. KH-290916-1422-1 priority 2 scope,J113,1435,12,Other,6,General,11177020,PAINT STORE; STBD AFT,253,2
29-Mar-16,Preload tanks repair scope,.,.,J114,1435,1,Replace,1,General,10862254,TANK; 16PS;PRELOAD;ABOVE BOTTOM;PORT,285,1
15-Apr-16,WOP Order 8x10 meter  hoses for buner booms, Order 8X10 meter  hoses for buner booms,.,J114,1435,12,Other,6.3,Unknown,10860704,PIPING; WELL TESTING SYSTEM,372,2
20-Aug-17,Send in 67 joint of 5.5 TT550 Drill pipe for insp.Req1060005,"Send in 67 joint of 5.5"" drill pipe for NS2 inspection due to rotating hours (12600)
REQ: 10600053028",.,J114,1435,12,Other,1,General,10860674,DRILL PIPE SYSTEM,351,16
29-Nov-16,"Send in 295 jt of 5 1/2"" TT550 (R3) Drill Pipe for NS2 inspe","295 jts TT550 drill pipe. Inspection to NS2 standard and re-certification.
Drill pipes to be stored at Maersk Drilling Pipe Yard upon completion of inspection",.,J114,1435,12,Other,6.2,Other,10860674,DRILL PIPE SYSTEM,351,16
12-Oct-16,Send in drill pipe for re-certification,126 jts TT550 drill pipe. Inspection to NS2 standard and re-certification.,Drillpipe sent in for inspection to Ns 2 standard.,J114,1435,9,Inspection,6.2,Other,10860674,DRILL PIPE SYSTEM,351,16
30-Oct-17,"Order 45 jts 5 1/2"" TT550 Maersk drill  pipe.","Send out 45 jts 5 1/2"" TT550 Maersk drill pipe for well operations.",already reported,J114,1435,12,Other,6.2,Other,10860674,DRILL PIPE SYSTEM,351,16
21-Oct-16,"Send in 11 jt 5 1/2"" Hwdp & 8 jt 8 1/4"" DC f/Inspect",Tubulars to be inspected to NS-2 Standard,.,J114,1435,12,Other,6.2,Other,10860674,DRILL PIPE SYSTEM,351,16
04-Feb-18,Send in 68 joint of 5.5 Drill pipe for inspection,"68 joints for inspection to NS2 Standard due to rotating hours

Pur Req 10600053988",DP sent in for inspection.,J114,1435,9,Inspection,6,General,10860674,DRILL PIPE SYSTEM,351,16
18-Dec-17,"Send in 99 jt 5.5"" TT550 Dp f/inspection.Ref Req:10600053698","Inspect 99 jt 5.5"" TT550 dp to NS2 Standard. 
Drillpipes to be stored at Pipeyard upon completion of inspection","5.5"" TT550 Dp for inspection to NS2 Standard as they have reached their inspection criteria (footage).",J114,1435,9,Inspection,2.4,Wear,10860674,DRILL PIPE SYSTEM,351,16
30-Nov-16,"Send in 55 jt 4"" Drill Pipe for NS2 Inspection","55 joints of DN (Maersk Managed) 4"" (R3) TT390 drill pipe to be inspected to NS2 Standard.
Drillpipes to be stored at the Maersk Drilling Pipe Yard upon completion of inspection.","55 jts 4"" drill pipe to be inspected to NS2 standard.",J114,1435,7,Service,6,General,10860674,DRILL PIPE SYSTEM,351,16
21-Jul-17,"WOP:Order 4"" DP for Nordfjellet",Order additional 4 inch drill pipe for Nordfjellet well.,Drill Pipe Received.,J114,1435,12,Other,6.1,No mechanism found,10860674,DRILL PIPE SYSTEM,351,16
09-Aug-17,WOP: Order out 30 jt R3 TT550 DP,In preparation of Nordfjellet well,Tubulars received.,J114,1435,12,Other,6.1,No mechanism found,10860674,DRILL PIPE SYSTEM,351,16
04-Oct-17,"Send in 60 joints 4"" drill pipe for storage. req10600053260","Send in 60 joints 4"" drill pipe for storage

req 10600053260",.,J114,1435,12,Other,1,General,10860674,DRILL PIPE SYSTEM,351,16
22-Feb-18,"Send in 30 joints 6 5/8"" HWDP F. inspection",Send in 30 ea 6 5/8 HWDP for inspection after use on rig. To be stored at yard.,Pipe sent in,J114,1435,9,Inspection,2.4,Wear,10860675,HEAVY WEIGHT DRILL PIPES - GROUP,351,3
02-Jun-16,Manrider emg stop missing tag,"Manrider drillfloor aft emg stop missing tag
SIGN: EMRGENCY STOP to be made by Motorman / ME",Correction,J105,5361,12,Other,6.2,Other,12011239,WINCH; MANRIDER; DRILL FLOOR; AFT NEW,365,3
02-Jun-16,ID Missing on chainsling,"Install correct ID tag on chain sling on winch correct tag is 
WCL-2011-00763-6 
also confirm proper spooling",corrective,J105,5361,12,Other,6.2,Other,11003187,WINCH NO.2; UTILITY 6 TON;GREEN;DRILL FLOOR WINCH PLATFORM,365,6
02-Jun-16,Investigate small leak on winch,Investigate small leak on wich,.,J105,5361,2,Repair,1,General,11003188,WINCH; 6T;CELLAR DECK,365,1
15-Jul-16,Change out lower section of choke valves,"Strip down lower section of choke valves and rebuildt with new valves from WOM. New valves is with inconel.
Following valves is changed: C-1 C-2 C-3 C-4 C-5 C-7 C-8 C-11 C-12 C-13 C-14 C-15 C-16

HNS 02.08.2016 Have asked RRI for status with instalation in structure but due to J105 and J105P they have faced some problems which logistic need to assist with.","Lower section of choke valve exept C-6 has been replaced.
New installed valves is with Inconel.",J105,5361,1,Replace,6.2,Other,11003160,CHOKE&KILL MANIFOLD,336,7
08-Jun-16,Repair of preload tanks 14 & 16,"Planning Cutting Welding NDT Sandblasting and painting.
To be performed by external company Acher.
20-10-2016: Hours for the first period with Apply onboard added to time report tab with correct PO line number FKJ014",Job completed. Hours issued,J115,1190,3,Modify,6.2,Other,10322314,TANKS; PRELOAD - GROUP,285,1
11-Aug-16,Stb. spudcan repair,The crack was grinded out and post NDT carried out. Report send to ABS.,"During the UWILD a crack was found on SB leg spudcan tip. The crack was grinded out and post NDT carried out. Report send to ABS. ABS approved the remedy action taken. Spudcan tips shall be continued monitored with ET at subsequent UWILDs.”
Report attached p. 44-58.
Total cost 36000 USD",J112,3350,2,Repair,2.5,Breakage,11950077,SPUDCAN; STBD LEG,226,1
08-Sep-16,Tetra basestation. New freq&Renewal of certificate,"Obtain new certificate from NKOM with new freq.
Order and instal new freq.
PR 10500050335 for certificate fee
PR 10500050336 for installation
14.10.2016 Senior management have desided to claim 'first here' rights and insist that Flotel Endurance has to change freq. Wireless Communications in Stavanger have them ready but the desition on what to do is not on our desk. Postpone WO untill desition have been made. Maintain PR/PO in case of any charge from Wireless Communication for hours spent. FKJ014
10-11-2016. New freq handed over to Flotel Endurance. We are keeping our old ones and our certificates has been updated with Gina Krog location. Closed FKJ014","MIG has obtained a new license from NKOM.
We will keep the original freq. therefore the operation line canclled.",J115,1190,12,Other,6.2,Other,10321934,TETRA RADIO COMMUNICATION SYSTEM,424,7
31-Mar-17,VHF radio defect fast rescue boat,"Send radio in for repair or buy new

31.03.17 CVA 
Contacted wireless communication for repair it is not possible to get parts for this radio anymore so new must be oreder
have got quote for new and created wizard see GLB10500002402
FKJ014: Seperate PR made due to connected activity issues. PR 10500051759",Radio ordered and replaced,J115,1190,1,Replace,6.2,Other,10322018,RESCUE BOAT,501,7
21-Mar-17,WOP Send in fall arrestors for yearly Service,"Yearly service of fall arrester
Get quote and make seperate PR code 6 for service ( PR: 10500051797)
Send in for service.
Fall arrestors:
Rebel Protect 15mtr S/N 035396
Rebel Protect 15mtr S/N 035401
MSA Workman 50' Self retracting Lanyard S/N 130716030
Miller Turbo lite 15 mtr Ins ref 663387 - Deck 8
Miller Turbo lite 15 mtr Ins ref 704631 - HYD 14
Miller Falcon 15 mtr S/N 20561327/006
Miller Falcon 15 mtr S/N 20561327/008
Miller Falcon 15 mtr S/N 20561327/009
Miller Falcon 15 mtr S/N 20561327/010

30-05-2017: Waiting for return of arrester. KLA110",Recieved the fall arrestors. Placed on main deck.,J115,1190,12,Other,6.2,Other,10788743,SAFETY DEVICES; PERSONNEL LIFT - GROUP,561,1
27-Jan-17,LGS 2017 Westcon,"Annual Lifting Gear survey 2017  performed by Westcon
25.03.2017 Onboard inspection completed by Westcon. All climbing jobs was conducted by CAN climbers and CAN´s equipment and should not be billed by Westcon. Still waiting on final report and update in the Weston online portal. Still not completed. BJO094",LGS 2017 Westcon,J115,1190,12,Other,6.2,Other,10321982,LIFTING GEAR,455,2
17-Jul-17,"Annual service personel transport basket ""esvagt baskets""","Send in Esvagt basket with Serial number: 131213-03-186 for annual service (Due 1/8-2017)
Send in Esvagt basket with Serial number: 180610-04-94 for annual service (Due 1/11-2017) /Reg No:10500053213
31.10.2017: 180610-04-94 sent in FKJ014
25.11.2017 Not recieved. Still located in Dusavik. See mail. BJO094",Serviced and recieved.,J115,1190,7,Service,6.2,Other,10788647,LIFE SAVING EQUIPMENT - GROUP,503,4
19-Jun-17,Parts for Helifuel system after Imenco Annual findings,"Change the 2 ea elbows and reducing nipple with stainless steel.
Req: 10500052343",Items installed,J115,1190,5,Refit,6.2,Other,10322075,HELIFUEL STORAGE TANK SYSTEM,566,1
05-Aug-17,Issue items on PO43061,Issue items on PO43061,Received and issued to Tetra cabinet,J115,1190,12,Other,6.2,Other,10321934,TETRA RADIO COMMUNICATION SYSTEM,424,7
17-Oct-17,Chain with hooks and plain hooks,Order hooks for 6T tuggers,Chain with hooks and plain hooks,J115,1190,12,Other,4,General,10359937,SLING STORE,253,1
07-Oct-16,Replace the anodes - STBD,Anodes to be replaced,old anodes depleted and replaced with new,J106,5117,1,Replace,2.3,Erosion,10607452,LEG; STBD,226,4
22-Nov-16,Cleaning of Bilge tank,Service company to clean blige tank.,Tank is cleaned,J102,11662,12,Other,5.2,Contamination,10010132,TANK NO.1; BILGE;C26,288,2
23-Feb-17,POB for BOP poslock and operator cylinder testing,"order subsea flange adapters which are required to do poslock testing and ram operator cylinder pressure testing

POB 2 ea 1-7/8  - 1 1/2"" Adapters received. Placed in BOX 8.  06.09.2017.    OBJ","seal subs ordered and received
REMAINING parts WILL BE ordered on WO 11300001258",J116,825,12,Other,6.2,Other,10359204,BOP STACK SYSTEM,331,11
06-Mar-17,WOP Salinity/Conductivity transmitter Rehardning filter #2,"Order new sensor and install

Wizard has been made GLB11300000262","Grinded out inner welding to avoid sensor from breaking.
Mounted new sensor. :",J116,825,12,Other,1.3,Clearance/ alignment failure,10562725,SENSOR; SALINITY,581,1
25-Feb-17,Change luffing wire on crane 1 (project work . NOV),Change luffing wire. This will be done by NOV crane op to assist.,Change luffing wire on crane 1 (project work . NOV),J116,825,1,Replace,4,General,10361317,WIRES; DK CRANE NO.1 - GROUP,361,1
24-Feb-17,WOP air hose and ferrules,order air hoses and low pressure ferrules are needed for general use around the rig,Ferrules recieved and stored in Hyd office on top of cuboard boxes marked with air hose ferrules,J116,825,12,Other,1,General,10359576,PIPING; COMPRESSED AIR SYSTEM,733,1
22-Feb-17,POB: Parts for Accumulator test.,"Kit for checking the BOP accumulator N2 pressure.
ORK002 07.04.2017. end date postponed due to WOP
27-04-17 KWE012: PARTS ARRIVED AND PLACED IN CUPBOARD IN BOP CONTROL ROOM",Stored in Accumulator room,J116,825,12,Other,6.2,Other,10570021,ACCUMULATOR CHARGING KIT,314,2
14-Mar-17,"POB: Fittings and piping for ""gas watch"" test.","Make test equipment for ""gas watch""
PR: 11300265270

Parts handed over to Hydraulic. 21.08.2017 OBJ009","Connect up new horn and beacon. 
Simulated",J116,825,2,Repair,1,General,10399322,SENSOR; GAS WATCH,311,2
14-Feb-17,POB Heat recovery expansion tank showing 100%. Not correct.,"Sensor to be removed for inspection of possible faults.
13.08.2017 ORK002 Parts placed in Box 6.",wizard mad for transminter but not for display do to bad internet conection,J116,825,1,Replace,3.3,Faulty signal/indication/alarm,10368689,GAUGE; LEVEL;EXPANSION TANK NO.4,577,1
23-Feb-17,WOP ferrules for hydraulic hoses in all sizes,order ferrules in all sizes for hydraulic hoses,WOP ferrules for hydraulic hoses in all sizes,J116,825,12,Other,3,General,10359676,HYDRAULIC POWER UNIT; HPU;DRILLING,385,7
25-Feb-17,WOP:  Tool bag for inter derrick with tools and maintenance.,.,Recieved,J116,825,12,Other,6.1,No mechanism found,10634416,PIPELINE; HYD OIL SUPPLY;DERRICK,385,1
23-Feb-17,WOP hydraulic hose for general use,order hydraulic hose of all sizes,Recieved hoses,J116,825,12,Other,6.1,No mechanism found,10359676,HYDRAULIC POWER UNIT; HPU;DRILLING,385,7
17-Apr-17,WOP replace fan,"replace fan capacitors and terminal board
24.05.2017 ORK002 Parts recived and placed in el/et shop in hull",done,J116,825,2,Repair,1,General,10400089,DISHWASHER; C-DK;A409,551,2
07-Apr-17,WOP spare sewage vacuum pump and motor,"Spare sewage vacuum pump and motor ordered for back up when one of the pump goes down.
05.08.2017 TBP010: On TO 6990 but not unpacked yet. Hence pp req finish date 1 week.",Spare sewage vacuum pump and motor,J116,825,12,Other,6.2,Other,10362016,SEWAGE VACUUM SYSTEM; HULL,582,2
07-Mar-17,WOP: Tool locker for ea crane with tools.,"Install locker with tools in ea crane.
Lockers are installed in ea crane.
Waiting tools for the lockers.","Lockers are installed in ea crane.
Waiting tools for the lockers.",J116,825,5,Refit,1,General,10361449,DECK CRANE STRUCTURE SYSTEM,361,1
16-Feb-17,POB Gauge/plug is broken please see attachment.,"Order a new and replaced Gauge PR 11300264331 + 332
Bottle/cyl no. 2 813-F4/CY202 new pressure gauge to be fitted. 
Bottle/cyl no. 7 813-F4/CY207 new pressure gauge and burst disc to be fitted bottle to be re-charged.
See attached charging procedure.
Pressure gauges installed.
 813-F4/CY207 need to recharged its only 160 bar.",broken plug,J116,825,2,Repair,1,General,10359612,WATER MIST SYSTEM,813,2
09-Apr-17,WOP - TEST PUMP FOR WATER,Order 2 pce test pumps to be orderd for the mechanical workshop,"Pumps are ordered
Pumps arrived - placed in mech workshop",J116,825,12,Other,6.2,Other,10359340,WORKSHOP TOOLS; MECHANICAL,441,13
04-Mar-17,WOP grease filling pumps for slew grease system,order grease pumps etc.,improvment,J116,825,3,Modify,1,General,10359260,DECK CRANE NO.1; PORT FWD,361,6
05-Mar-17,WOP. Replace filter insert.,"WOP. Order new filter insert. 10 pcs ordered. Mat. man to put as stock item when we receive the filters.
Replace filter insert.

04.04.2017 ORK002. End date postponed due to WOP.","Filters ordered by Mat. man.
Filter is replaced.",J116,825,1,Replace,2.4,Wear,10559761,HIGH PRESSURE WASHDOWN UNIT NO.1; HULL,444,6
27-Mar-17,WAR Valve positioner faulty for RW P/P 1 & 3   discharge v/v,"12.07.2017 - 4ea positioner rec on transport order 6356. M/E HCH052
19.07.2017. 1 positionor recieved for Warrenty case. Been fitted by Op.Tech Allan.
Also one fitted on rw pump valve 3.
The last 3 will be created as stock item.
Have issued all 4 for being able to closed WO. Parts will get reqounted and updated by matman. M/E HCH052","Positioner to be changed

Positioner on 721W1PTV003 changed
Positioner on 721W1PTV001 changed NOT CALIBRATED",J116,825,1,Replace,4,General,10408817,POSITIONER; PTV001;DISCHARGE;RW PMP NO.1,721,1
03-Apr-17,Change Door Lock Cylinder on both doors to Hospital.,"Change Door Lock Cylinder on both doors to Hospital.
13.05.2017 ORK002 end date postponed stil WOP
08.07.2017 BAB WIZ INC0139733 for help finalise this wo.
04.08.2017 ORK End date PP",Locks changed.,J116,825,1,Replace,1,General,10400500,DOOR NO.A113-1; MAIN DECK;B-15,512,1
12-Apr-17,WOP Lower jaw back up door cylinder damaged,Lower jaw back up door cylinder damaged,WOP Lower jaw back up door cylinder damaged,J116,825,12,Other,1,General,10581260,CASING TONG; TOOL FRAME;KT-14000,342,2
11-Apr-17,Order various tools for mechanical workshop.,"Order tools.
Please issue if you know this has arrived.",Some tools arrived some canceled.,J116,825,12,Other,6.2,Other,10359340,WORKSHOP TOOLS; MECHANICAL,441,13
02-Apr-17,POB Install protective Flexbags on skidding cylinders,"Install protective Flexbags on skidding cylinders
Wrong delivered new will come.
28.12.2017 New bags received. PO33562. TO10058. Project shelf E. M/E HCH052",Install protective flexibags on skidding cylinders.,J116,825,3,Modify,3,General,10563078,HYDRAULIC SKIDDING CYLINDER SYSTEM,489,1
12-Apr-17,WOP Levelmaster H8 for stock,WOP Levelmaster H8 for stock,.,J116,825,1,Replace,1,General,10359585,TANK GAUGING SYSTEM,797,1
22-Feb-17,WOP/ POB: Portable cutting set for fire stations,"Portable cutting set for all four fire stations

PO made",POB,J116,825,12,Other,1,General,10559608,FIRE STATION; C102A,247,1
04-Apr-17,WAR POB -Helideck floodlight not working.,"Internal power converter have burned tracks on PCB. New lamp or internal electronics has to be purchased.
01.07.2017 ORK002 New floodlight recieved handed over to electrician.",.,J116,825,12,Other,6.2,Other,10557780,FLOODLIGHT; LOOP 2,892,1
25-Feb-17,WOP tools for pipe bending machine,order a set of tools for the pipe bending machine,Tool stored at the machine.,J116,825,12,Other,6.3,Unknown,10359693,OUTFITTING; HYD/MECHANICS WORKSHOP,446,9
15-Feb-17,Coupling needs to be changed,"Change coupling complete due to wear on steel parts. See attached photo
5/3-2017  TSL have ordered 3 couplings on WO 11300000114. PR 11300264001. PO 31390.
25.04.2017 Coupling PN 1153112 onboard and change out can take place.
08.05.2017 All parts onboard. WO closed. M/E HCH052",Elastomer insert for coupling changed and aligment of pump and motor.,J116,825,2,Repair,1.5,Looseness,10360786,PUMP NO.2; CENTRIF;TRIP TANK NO.1&2,326,2
11-Apr-17,POB - ORDER VACUUM CLEANE FOR PCs,Order vacuum cleaner,27.05.2017 ORK Cleaner recieved placed in Et / El shop in Hull,J116,825,12,Other,1,General,10364198,ELECTRICAL WORKSHOP; M113,271,2
11-Apr-17,Replace oil level plug with sight glass.,"Replace plugs with sight glasses on all the gears for the hose reels.
I have ordered some extra glasses to be used for the gears on the swarf conveyors.","Parts ordered 10/04-17
Level plugs replaced with sight glass.
Level plugs on gears for swarf belt is also replaced.",J116,825,1,Replace,6.2,Other,10363477,HOSE REEL STATION SYSTEM,329,1
25-Mar-17,WOP order hose fittings for general use on drill. equipment.,Order fittings for use on rigfloor.,Recieved,J116,825,1,Replace,1,General,10359693,OUTFITTING; HYD/MECHANICS WORKSHOP,446,9
20-Mar-17,POB: Coupling cover on the DW.,"Replace old type cover to new type.
14.05.2017 ORK002 covers placed in hyd work shop",Covers has been installed.,J116,825,1,Replace,1,General,10359185,DRAWWORKS,312,3
17-Apr-17,WOP Flange protection not installed on all CW flanges,17.04.2017 BAB013 Have found part number for no spray tape same as used on main engine fuel pipings. Part number 1146735. Wiz created to asign to J116. Case no GLB11300000482. Order one ea when available. The ones missing flange protection has been temporarily fitted with aluminum tape. This tape is to be taken off and replaced with no spray tape. 3 flanges in cantilever trafo room.,.,J116,825,N/A,Not Defined or Applicable,N/A,Not Defined or Applicable,10359485,TRANSFORMERS SYSTEM,865,1
14-Sep-17,Replace Element in Lower Annular (TPC),Rebuild Lower Annular operator with new seals and element,This WO is for admin purpose only and used to issue the annular element from project.,D101,1515,12,Other,1,General,11896012,"ANNULAR BOP; LOWER;18 3/4"";10K",331,2
14-Sep-17,Replace Element in Upper Annular (TPC),Replace Element in Upper Annular (TPC),Replace Upper Annular element,D101,1515,1,Replace,6.2,Other,11896011,"ANNULAR BOP; UPPER;18 3/4"";10K",331,2
07-Nov-16,Change transfer pump stb blunox,"New pump to be ordered and installed
04.12.2016 SHA210 Pump ordered.",new pump/motor installed,J105,5361,1,Replace,1,General,12116102,BLUNOX SCR SYS; STBD SIDE,744,10
